pa	feature	n	sum	perc	site
pa_fav	str	85	712	11.938202247191	bladder
pa_unfav	str	37	378	9.78835978835979	bladder
no_pa	str	2020	19304	10.4641525072524	bladder
pa_fav	str	28	350	8	crc
pa_unfav	str	34	242	14.0495867768595	crc
no_pa	str	2080	19802	10.5039894960105	crc
pa_fav	str	16	262	6.10687022900763	liver
pa_unfav	str	345	2602	13.2590315142198	liver
no_pa	str	1781	17530	10.1597261836851	liver
pa_fav	str	2	25	8	prostate
pa_unfav	str	24	132	18.1818181818182	prostate
no_pa	str	2116	20237	10.4560952710382	prostate
pa_fav	str	13	162	8.02469135802469	thyroid
pa_unfav	str	22	184	11.9565217391304	thyroid
no_pa	str	2107	20048	10.5097765363128	thyroid
pa_fav	str	7	66	10.6060606060606	brain
pa_unfav	str	26	201	12.9353233830846	brain
no_pa	str	2109	20127	10.4784617677746	brain
pa_fav	str	63	830	7.59036144578313	endometrium
pa_unfav	str	103	783	13.154533844189	endometrium
no_pa	str	1976	18781	10.5212714977903	endometrium
pa_fav	str	24	296	8.10810810810811	lung
pa_unfav	str	32	352	9.09090909090909	lung
no_pa	str	2086	19746	10.5641648941558	lung
pa_fav	str	2	47	4.25531914893617	skin
pa_unfav	str	32	163	19.6319018404908	skin
no_pa	str	2108	20184	10.443915973048	skin
pa_fav	str	34	362	9.39226519337017	breast
pa_unfav	str	20	207	9.66183574879227	breast
no_pa	str	2088	19825	10.5321563682219	breast
pa_fav	str	47	442	10.6334841628959	hnn
pa_unfav	str	27	338	7.98816568047337	hnn
no_pa	str	2068	19614	10.5434893443459	hnn
pa_fav	str	27	359	7.52089136490251	ovary
pa_unfav	str	29	150	19.3333333333333	ovary
no_pa	str	2086	19885	10.4903193361831	ovary
pa_fav	str	23	127	18.1102362204724	stomach
pa_unfav	str	16	170	9.41176470588235	stomach
no_pa	str	2103	20097	10.4642483952829	stomach
pa_fav	str	39	492	7.92682926829268	cervix
pa_unfav	str	15	222	6.75675675675676	cervix
no_pa	str	2088	19680	10.609756097561	cervix
pa_fav	str	369	3193	11.5565299091763	kidney
pa_unfav	str	307	2749	11.1676973444889	kidney
no_pa	str	1466	14452	10.1439247163022	kidney
pa_fav	str	130	843	15.4211150652432	pancreas
pa_unfav	str	56	668	8.38323353293413	pancreas
no_pa	str	1956	18883	10.3585235396918	pancreas
pa_fav	str	1	14	7.14285714285714	testis
pa_unfav	str	4	42	9.52380952380952	testis
no_pa	str	2137	20338	10.5074245255187	testis
