pa	feature	n_with_feature	n_total	perc_with_feature	site
pa_fav	str	102	712	14.3258426966292	bladder
pa_unfav	str	60	378	15.8730158730159	bladder
no_pa	str	2496	19304	12.9299627020307	bladder
pa_fav	idr	422	712	59.2696629213483	bladder
pa_unfav	idr	208	378	55.026455026455	bladder
no_pa	idr	10647	19304	55.1543721508496	bladder
pa_fav	str	35	350	10	crc
pa_unfav	str	48	242	19.8347107438017	crc
no_pa	str	2575	19802	13.003736996263	crc
pa_fav	idr	179	350	51.1428571428571	crc
pa_unfav	idr	168	242	69.4214876033058	crc
no_pa	idr	10930	19802	55.1964448035552	crc
pa_fav	str	22	262	8.3969465648855	liver
pa_unfav	str	398	2602	15.2959262106072	liver
no_pa	str	2238	17530	12.7666856816885	liver
pa_fav	idr	83	262	31.6793893129771	liver
pa_unfav	idr	1583	2602	60.8378170637971	liver
no_pa	idr	9611	17530	54.8260125499144	liver
pa_fav	str	2	25	8	prostate
pa_unfav	str	27	132	20.4545454545455	prostate
no_pa	str	2629	20237	12.9910559865593	prostate
pa_fav	idr	7	25	28	prostate
pa_unfav	idr	92	132	69.6969696969697	prostate
no_pa	idr	11178	20237	55.235459801354	prostate
pa_fav	str	18	162	11.1111111111111	thyroid
pa_unfav	str	25	184	13.5869565217391	thyroid
no_pa	str	2615	20048	13.043695131684	thyroid
pa_fav	idr	73	162	45.0617283950617	thyroid
pa_unfav	idr	119	184	64.6739130434783	thyroid
no_pa	idr	11085	20048	55.2922984836393	thyroid
pa_fav	str	7	66	10.6060606060606	brain
pa_unfav	str	35	201	17.4129353233831	brain
no_pa	str	2616	20127	12.9974660903264	brain
pa_fav	idr	39	66	59.0909090909091	brain
pa_unfav	idr	115	201	57.2139303482587	brain
no_pa	idr	11123	20127	55.264073135589	brain
pa_fav	str	89	830	10.7228915662651	endometrium
pa_unfav	str	122	783	15.581098339719	endometrium
no_pa	str	2447	18781	13.0291251797029	endometrium
pa_fav	idr	440	830	53.0120481927711	endometrium
pa_unfav	idr	489	783	62.4521072796935	endometrium
no_pa	idr	10348	18781	55.0982375805335	endometrium
pa_fav	str	28	296	9.45945945945946	lung
pa_unfav	str	45	352	12.7840909090909	lung
no_pa	str	2585	19746	13.0912589891624	lung
pa_fav	idr	171	296	57.7702702702703	lung
pa_unfav	idr	217	352	61.6477272727273	lung
no_pa	idr	10889	19746	55.1453458928391	lung
pa_fav	str	5	47	10.6382978723404	skin
pa_unfav	str	35	163	21.4723926380368	skin
no_pa	str	2618	20184	12.970669837495	skin
pa_fav	idr	30	47	63.8297872340426	skin
pa_unfav	idr	107	163	65.6441717791411	skin
no_pa	idr	11140	20184	55.1922314704717	skin
pa_fav	str	43	362	11.878453038674	breast
pa_unfav	str	28	207	13.5265700483092	breast
no_pa	str	2587	19825	13.0491803278689	breast
pa_fav	idr	181	362	50	breast
pa_unfav	idr	98	207	47.3429951690821	breast
no_pa	idr	10998	19825	55.4754098360656	breast
pa_fav	str	58	442	13.1221719457014	hnn
pa_unfav	str	36	338	10.6508875739645	hnn
no_pa	str	2564	19614	13.072295299276	hnn
pa_fav	idr	294	442	66.5158371040724	hnn
pa_unfav	idr	144	338	42.603550295858	hnn
no_pa	idr	10839	19614	55.2615478739676	hnn
pa_fav	str	33	359	9.19220055710306	ovary
pa_unfav	str	36	150	24	ovary
no_pa	str	2589	19885	13.0198642192607	ovary
pa_fav	idr	177	359	49.3036211699164	ovary
pa_unfav	idr	96	150	64	ovary
no_pa	idr	11004	19885	55.3381946190596	ovary
pa_fav	str	28	127	22.0472440944882	stomach
pa_unfav	str	22	170	12.9411764705882	stomach
no_pa	str	2608	20097	12.9770612529233	stomach
pa_fav	idr	80	127	62.992125984252	stomach
pa_unfav	idr	84	170	49.4117647058824	stomach
no_pa	idr	11113	20097	55.2968104692243	stomach
pa_fav	str	47	492	9.55284552845528	cervix
pa_unfav	str	21	222	9.45945945945946	cervix
no_pa	str	2590	19680	13.1605691056911	cervix
pa_fav	idr	276	492	56.0975609756098	cervix
pa_unfav	idr	107	222	48.1981981981982	cervix
no_pa	idr	10894	19680	55.3556910569106	cervix
pa_fav	str	478	3193	14.970247416223	kidney
pa_unfav	str	383	2749	13.9323390323754	kidney
no_pa	str	1797	14452	12.434265153612	kidney
pa_fav	idr	1894	3193	59.3172564985907	kidney
pa_unfav	idr	1497	2749	54.4561658785013	kidney
no_pa	idr	7886	14452	54.5668419595904	kidney
pa_fav	str	157	843	18.6239620403321	pancreas
pa_unfav	str	74	668	11.0778443113772	pancreas
no_pa	str	2427	18883	12.8528305883599	pancreas
pa_fav	idr	571	843	67.7342823250297	pancreas
pa_unfav	idr	381	668	57.0359281437126	pancreas
no_pa	idr	10325	18883	54.678811629508	pancreas
pa_fav	str	1	14	7.14285714285714	testis
pa_unfav	str	6	42	14.2857142857143	testis
no_pa	str	2651	20338	13.0347133444783	testis
pa_fav	idr	10	14	71.4285714285714	testis
pa_unfav	idr	26	42	61.9047619047619	testis
no_pa	idr	11241	20338	55.270921427869	testis
